Nome,Descrição
Cells at Work,O corpo humano consiste em aproximadamente 37 bilhões de células. Essas células trabalham duro todos os dias em um mundo que é seu corpo. Conheça os heróis anônimos e o drama que se desenvol... Ler tudo
Kidô senshi Gandamu,"Adicionar um enredo no seu idioma
In the war between the Earth Federation and Zeon, a young and inexperienced crew find themselves on a new spaceship. Their best hope of making it through the conflict is the Gundam, a giant ... Ler tudo"
Prison School,"Adicionar um enredo no seu idioma
Hachimitsu Academy, once an all-girls school, has become co-ed, and teen Kiyoshi is one of five boys to enroll. When he is caught peeping, Kiyoshi is sent to the schools prison, where his pu... Ler tudo"
Yamada-kun e as Sete Bruxas,"Adicionar um enredo no seu idioma
Ryu Yamada is kissing his normal life goodbye after he ends up in a bizarre body swap with honor student Urara Shiraishi!"
Tekkonkinkreet,2 meninos defendem a Cidade do Tesouro. A Yakuza tenta assumir o controle para usar a área em um novo desenvolvimento urbano.
Tekkonkinkreet,2 meninos defendem a Cidade do Tesouro. A Yakuza tenta assumir o controle para usar a área em um novo desenvolvimento urbano.
Dansu in za vanpaia bando,"Adicionar um enredo no seu idioma
Vampire queen Mina Tepes comes out of hiding to offer peace between vampires and humans. Japan gives her a bund, where she goes to live with her people. However, extremist human and vampire ... Ler tudo"
Kuroshitsuji,"Da última vez que vimos nosso querido Sebastian, ele estava pronto para se alimentar da alma de seu jovem mestre. Infelizmente para ele, um novo mordomo chegou à cidade..."
Nanatsu no Taizai: Seisen no Shirushi,"Os sete pecados mortais eram um grupo de cavaleiros da região de Britannia. Agora que os Cavaleiros Abençoados controlam o reino, a Princesa Elizabeth tenta encontrar os Sete Pecados Mortais... Ler tudo"
Blue Exorcist,"Determinado a se livrar da maldição de ser filho ilegítimo de Satã, Rin segue os passos de seu mentor e se alista na Academia Vera Cruz para se tornar um exorcista."
Yao Shen Ji,"Adicionar um enredo no seu idioma
In his past life, although too weak to protect his home when it counted, out of grave determination Nie Li became the strongest Demon Spiritist and stood at the pinnacle of the martial world... Ler tudo"
Owari No Seraph,"Em 2012, o mundo supostamente chega ao fim nas mãos de um vírus de origem humana que dizima a população mundial, mas não afeta crianças. É quando os vampiros emergem das profundezas da terra... Ler tudo"
Golden Kamuy,"No início do século XX Hokkaido, Japão, uma caça ao tesouro ocorre entre várias partes em busca de um esconderijo de ouro."
Golden Kamuy,"No início do século XX Hokkaido, Japão, uma caça ao tesouro ocorre entre várias partes em busca de um esconderijo de ouro."
D.Gray-man,"O jovem Allen Walker, um exorcista, luta contra Akuma para salvar o mundo."
Vanpaia naito,"Adicionar um enredo no seu idioma
Yuki Cross, along with her best friend Zero, attempts to keep the peace between humans and vampires at Cross Academy, but personal issues soon threaten the situation."
Hellsing,"Adicionar um enredo no seu idioma
A British taskforce, lead by the daughter of the vampire hunter Prof. Van Helsing, battles the supernatural with the aid of two vampires."
New Gods: Nezha Reborn,"Um jovem entregador comum, Li Yunxiang, embora de um bairro pobre, está vivendo uma vida satisfatória, mas quando o filho rico e arrogante do chefe o espanca, sua raiva profunda se transform... Ler tudo"
O Castelo no Céu,"Sob o disfarce de um documentário brutalmente honesto, este filme de propaganda malévola alega ser projetado para representar o ""verdadeiro"" judeu quando as máscaras da civilização ocidental... Ler tudo"
Princesa Mononoke,Um príncipe sofre com uma maldição mortal e parte em busca da cura. Ele acaba indo parar no meio da batalha entre uma cidade mineradora e os animais da floresta.
Jeeg il robot d'acciaio contro i mostri di roccia!: La più grande vittoria di Jeeg Robot,Adicionar um enredo no seu idioma
Castlevania,Um caçador de vampiros luta para salvar uma cidade de um exército de criaturas de outros mundos controlados por Drácula.
Yu Yu Hakusho,Um adolescente louco por lámen precisa aprender a usar seus novos poderes para salvar as pessoas que ama.
Highschool: Colégio da Morte,Um vírus mortal está transformando as pessoas em cadáveres ambulantes. Takashi e seus amigos tentam escapar dos mortos-vivos.
Reinado de Sangue: A Maldição do Yoma,"Adicionar um enredo no seu idioma
A terrible war has ravaged the land, and now, fueled by the blood of numerous fallen warriors, the Yoma, demons from hell, emerge once more. A skilled ninja seeks to end the bloodshed these ... Ler tudo"
Casshern Sins,"Adicionar um enredo no seu idioma
The world is falling apart and Casshern is to blame. He is said to have killed a robot named ""Luna"" and by doing so unleashed a plague referred to as ""ruin"". But Casshern has no recollection... Ler tudo"
Viagem para Agartha,"Uma história envolvendo amor jovem e música misteriosa, vinda de um rádio de cristal deixado como lembrança por um pai ausente, que leva uma jovem heroína ao fundo de um mundo escondido."
Dâkusaido burûsu,"Adicionar um enredo no seu idioma
A mysterious man attempts to save ""The Dark Side of Tokyo"" from the control of a land-hungry corporation."
"Maou-sama, Retry!","Adicionar um enredo no seu idioma
On the night of his favorite game's shutdown, Akira Oono awakens in the body of his online character: Demon Lord Hakuto Kunai."
Cyberpunk: Mercenários,"Para sobreviver em uma realidade distópica na qual a corrupção e os implantes cibernéticos controlam tudo, um jovem talentoso e impulsivo decide se tornar um mercenário."
